Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR9127369_1_clean - nextera_transposase_sequence	(1, 0.00015412090050303701)	(2, 0.0003263736716534902)	(3, 0.0005031594104657973)	(4, 0.0006708792139543964)	(5, 0.0009337913383419302)	(6, 0.0011105770771542374)	(7, 0.001350824363232501)	(8, 0.0016182694552818887)	(9, 0.0018993134503168386)	(10, 0.002261950863265161)	(11, 0.0026563190498464615)	(12, 0.0031096158160318645)	(13, 0.004374313793689139)	(14, 0.006246429438034854)	(15, 0.009097666097341039)	(16, 0.02137294252564175)	(17, 0.03774602172025851)	(18, 0.05396951298203408)	(19, 0.07003888334330662)	(20, 0.08666127575932535)	(21, 0.10811581170288047)	(22, 0.13917570612190427)	(23, 0.17805950272528814)	(24, 0.2194681623163247)	(25, 0.27362805994015665)	(26, 0.32206735237472883)	(27, 0.371934529622785)	(28, 0.4195941516195183)	(29, 0.4721584446263776)	(30, 0.5251307047228038)	(31, 0.5808952728989321)	(32, 0.6347378627864343)	(33, 0.6923065520919804)	(34, 0.7524816978030927)	(35, 0.8141209920689838)	(36, 0.8803113858673763)	(37, 0.9445344717005242)	(38, 1.0120122283148834)	(39, 1.0790230892600714)	(40, 1.1492432913098523)	(41, 1.2295040167306397)	(42, 1.3003225705117851)	(43, 1.3808598069599458)	(44, 1.4555812458979476)	(45, 1.5347359272092427)	(46, 1.6136367623314738)	(47, 1.6138316799409336)	(48, 1.6139495371001418)	(49, 1.6141489876772634)	(50, 1.6142577789011479)	(51, 1.6144844272842407)	(52, 1.614593218508125)	(53, 1.6148379987618653)	(54, 1.6150374493389867)	(55, 1.6152912955280505)	(56, 1.6154544823638775)	(57, 1.6156358010703515)	(58, 1.6158307186798113)	(59, 1.6160347022245947)	(60, 1.6162613506076873)	(61, 1.6165287956997367)	(62, 1.6167599770504912)	(63, 1.6170636858838356)	(64, 1.617299400202252)	(65, 1.617702834324157)	(66, 1.6179748123838682)	(67, 1.6184326421177155)	(68, 1.6187046201774267)	(69, 1.6190128619784327)	(70, 1.6193709664237192)	(71, 1.6197472027396531)	(72, 1.6200962412496158)	(73, 1.6205404720804777)	(74, 1.6209439062023825)
SRR9127369_1_clean - polya	(1, 0.01761511233396476)	(2, 0.020901513888808933)	(3, 0.02436470118246541)	(4, 0.027855086282093013)	(5, 0.031046295516038252)	(6, 0.03467720261318333)	(7, 0.0387523405411901)	(8, 0.04231525312340737)	(9, 0.04620907234493998)	(10, 0.05020714982269524)	(11, 0.05459959548703179)	(12, 0.05830756303442839)	(13, 0.0620336624524724)	(14, 0.06593654760932872)	(15, 0.06930454258208626)	(16, 0.07294451561455505)	(17, 0.07662075238831867)	(18, 0.08032418696805341)	(19, 0.08495234695080638)	(20, 0.0885696551449659)	(21, 0.09227308972470064)	(22, 0.09607624959299617)	(23, 0.09967542591650827)	(24, 0.10374149790919134)	(25, 0.10793902596406817)	(26, 0.11173765286470184)	(27, 0.11584452156634159)	(28, 0.11999218697693803)	(29, 0.12441183044724571)	(30, 0.12821499031554123)	(31, 0.1321133425047357)	(32, 0.13674603545515052)	(33, 0.14100702505729332)	(34, 0.14590263013209567)	(35, 0.1502678779904611)	(36, 0.15456059836623687)	(37, 0.1590618352544579)	(38, 0.16346787982178004)	(39, 0.16742969355824044)	(40, 0.17175867767531106)	(41, 0.17621458488691355)	(42, 0.18085181080499024)	(43, 0.1854301081434628)	(44, 0.1903529110242363)	(45, 0.19505813145724077)	(46, 0.2003707695569337)	(47, 0.2049037372187877)	(48, 0.2094321719129799)	(49, 0.21426884840817814)	(50, 0.21953162386359068)	(51, 0.22436376739112707)	(52, 0.22922310872463458)	(53, 0.23433176327954408)	(54, 0.23966253324988443)	(55, 0.24502050102619588)	(56, 0.24983904565074672)	(57, 0.25434934847429147)	(58, 0.2590183051660011)	(59, 0.2639320421114509)	(60, 0.2688321801539151)	(61, 0.27380937864663085)	(62, 0.2786732529478002)	(63, 0.28401308885346427)	(64, 0.2894526500476891)	(65, 0.29466556285882123)	(66, 0.2994115800007824)	(67, 0.3046154268765908)	(68, 0.30953369678970244)	(69, 0.3145199612177419)	(70, 0.3196966102875792)	(71, 0.3246058142653671)	(72, 0.3296963369496292)	(73, 0.33469620028065417)	(74, 0.3394422174226153)
SRR9127369_2_clean - nextera_transposase_sequence	(1, 0.00015412090050303701)	(2, 0.0003263736716534902)	(3, 0.0005212912811132134)	(4, 0.0007026099875873746)	(5, 0.0009609891443130543)	(6, 0.0011831045597439018)	(7, 0.0014777474577644138)	(8, 0.001817720032403466)	(9, 0.0022030222836610584)	(10, 0.0026608520175083156)	(11, 0.003123214719017427)	(12, 0.0037125005150584504)	(13, 0.005104121587247638)	(14, 0.007103160326125265)	(15, 0.010081320079963364)	(16, 0.022537915214738236)	(17, 0.039142175760109546)	(18, 0.05551072198706445)	(19, 0.07180674073142969)	(20, 0.08862405075690814)	(21, 0.11033243288952709)	(22, 0.14169603614189513)	(23, 0.18083821190200466)	(24, 0.22241005832886798)	(25, 0.27700965381589976)	(26, 0.32579345179277286)	(27, 0.3761139258070144)	(28, 0.4240953885077393)	(29, 0.47707671453948924)	(30, 0.5304161450165256)	(31, 0.5866521418294867)	(32, 0.6410386878364114)	(33, 0.6990062782962007)	(34, 0.7596664515471313)	(35, 0.8217182458702511)	(36, 0.8884027331437858)	(37, 0.9530383190341624)	(38, 1.0210509658326203)	(39, 1.0885921839942454)	(40, 1.159492331193304)	(41, 1.2404058039573986)	(42, 1.3118725721141893)	(43, 1.3932076108708362)	(44, 1.4685455334108501)	(45, 1.5484798851599841)	(46, 1.6280515994961697)	(47, 1.6282193192996584)	(48, 1.6283281105235428)	(49, 1.6285910226479303)	(50, 1.6287723413544044)	(51, 1.6289853908345115)	(52, 1.6291077809613816)	(53, 1.6294205557300496)	(54, 1.6296834678544372)	(55, 1.629969044817134)	(56, 1.6301322316529607)	(57, 1.630340748165406)	(58, 1.6305855284191462)	(59, 1.6308620394465192)	(60, 1.6311430834415541)	(61, 1.6314422593072366)	(62, 1.63164624285202)	(63, 1.6320043472973065)	(64, 1.6322853912923414)	(65, 1.6326208308993186)	(66, 1.6329336056679864)	(67, 1.6334684958520853)	(68, 1.633785803588415)	(69, 1.6341393750660396)	(70, 1.6345292102849591)	(71, 1.6350595675013961)	(72, 1.635490199429272)	(73, 1.635961628066105)	(74, 1.636392259993981)
SRR9127369_2_clean - polya	(1, 0.01809560690612129)	(2, 0.02141373923459844)	(3, 0.024573217694910696)	(4, 0.027900415958711556)	(5, 0.030928438356830047)	(6, 0.03439615861814838)	(7, 0.03817665364813464)	(8, 0.04172143435970449)	(9, 0.04551552829267631)	(10, 0.0492642925490296)	(11, 0.05349355137753941)	(12, 0.05712899144234634)	(13, 0.06081429415143367)	(14, 0.0643409429923561)	(15, 0.06803077866910529)	(16, 0.07178407589312041)	(17, 0.07557363685843038)	(18, 0.07898242854014462)	(19, 0.08336127530149562)	(20, 0.08691512194838917)	(21, 0.09057775981916723)	(22, 0.09425399659293085)	(23, 0.09793476633435631)	(24, 0.10222748671013208)	(25, 0.10624369605853476)	(26, 0.11027803727758484)	(27, 0.1142262521110597)	(28, 0.11858243403410143)	(29, 0.12319246214620698)	(30, 0.12730839678317044)	(31, 0.13112515555445153)	(32, 0.13511870006454493)	(33, 0.1393615577960403)	(34, 0.14398971777879327)	(35, 0.1486813393088122)	(36, 0.15298765858757352)	(37, 0.1575251592170894)	(38, 0.16209892358790012)	(39, 0.16659109454079746)	(40, 0.17081128743398355)	(41, 0.17582928263565598)	(42, 0.18029878875024405)	(43, 0.18518986085738454)	(44, 0.189709229616253)	(45, 0.1945005764348327)	(46, 0.19986307717880603)	(47, 0.20459549541778163)	(48, 0.20983107306722304)	(49, 0.2146178869181409)	(50, 0.21976733818200708)	(51, 0.22469014106278057)	(52, 0.23002544400078276)	(53, 0.23515223042633965)	(54, 0.24036967620513364)	(55, 0.24561885275756062)	(56, 0.2505507215736578)	(57, 0.25542366181015086)	(58, 0.260201409725745)	(59, 0.26511061370353295)	(60, 0.27017393858182387)	(61, 0.27526899423374784)	(62, 0.2797792970572926)	(63, 0.28459784168184343)	(64, 0.2893755895974376)	(65, 0.29437545292846257)	(66, 0.2990444096201722)	(67, 0.3040080092099024)	(68, 0.3089534769289851)	(69, 0.31349551052616287)	(70, 0.31865402772535273)	(71, 0.32366295699170144)	(72, 0.3285766939371512)	(73, 0.33391199687515344)	(74, 0.338676145887762)
SRR9127369_2_clean - polyg	(1, 0.03095110319513932)	(2, 0.031408932928986576)	(3, 0.031830498921539)	(4, 0.03226566381707698)	(5, 0.032750691356895366)	(6, 0.03327651560567044)	(7, 0.03377514204847438)	(8, 0.03430096629724944)	(9, 0.034835856481348224)	(10, 0.03542060930972739)	(11, 0.036068823685372516)	(12, 0.03662184574011871)	(13, 0.03712047218292265)	(14, 0.0375692359814462)	(15, 0.03799533494166048)	(16, 0.038425966869536615)	(17, 0.038865664732736456)	(18, 0.0394232197551445)	(19, 0.03995357697158142)	(20, 0.040461269349709075)	(21, 0.040900967212908916)	(22, 0.04124547275520982)	(23, 0.04163530797412927)	(24, 0.042038742096034275)	(25, 0.04244217621793928)	(26, 0.04286827517815356)	(27, 0.043253577429411154)	(28, 0.04366607748663987)	(29, 0.04411937425282528)	(30, 0.044663330372247755)	(31, 0.04508942933246204)	(32, 0.04545659971307221)	(33, 0.045923495382243176)	(34, 0.04637225918076673)	(35, 0.04687995155889438)	(36, 0.04747830329025911)	(37, 0.048058523150976425)	(38, 0.048575281464427786)	(39, 0.049105638680864705)	(40, 0.04955893544705011)	(41, 0.05006662782517776)	(42, 0.050592452073952826)	(43, 0.05111374335506604)	(44, 0.05155344121826588)	(45, 0.05201580391977499)	(46, 0.05251443036257894)	(47, 0.05308105132031069)	(48, 0.05372926569595582)	(49, 0.05441827678055763)	(50, 0.055034760382569776)	(51, 0.055701106628862324)	(52, 0.05638105177814043)	(53, 0.05676182106173616)	(54, 0.05737830466374831)	(55, 0.057981189362774896)	(56, 0.0587699257359375)	(57, 0.0597263819125887)	(58, 0.06127212388528092)	(59, 0.06325303075351113)	(60, 0.06521580575109392)	(61, 0.06738256429346015)	(62, 0.0695085261268697)	(63, 0.07218297704736358)	(64, 0.07590001053008388)	(65, 0.08061429689841207)	(66, 0.08599946248069466)	(67, 0.09289410629437464)	(68, 0.10077240409067695)	(69, 0.11134781764578239)	(70, 0.12348257207656563)	(71, 0.139588206179133)	(72, 0.1586176044235962)	(73, 0.17923354134970834)	(74, 0.2026871160321411)
SRR9127396_1_clean - nextera_transposase_sequence	(1, 9.111393989523172e-05)	(2, 0.0001700793544710992)	(3, 0.0003067502643139468)	(4, 0.00043127264883743014)	(5, 0.0005861663466593241)	(6, 0.0007410600444812181)	(7, 0.001053884571454847)	(8, 0.0012270010572557873)	(9, 0.0014973057456116414)	(10, 0.0017797589592868598)	(11, 0.00212599193088874)	(12, 0.0024175565385534817)	(13, 0.002739492459516634)	(14, 0.003106985350427402)	(15, 0.003583814969212448)	(16, 0.004461545923536514)	(17, 0.0057098069001011885)	(18, 0.006824434098152856)	(19, 0.008036249498759439)	(20, 0.009068874150905397)	(21, 0.01062692252311386)	(22, 0.012725580272034031)	(23, 0.015064171396011645)	(24, 0.017554619086481312)	(25, 0.020770941164782994)	(26, 0.023537767806268196)	(27, 0.026328891498392126)	(28, 0.02909268100854749)	(29, 0.032144997995037755)	(30, 0.03514872088025056)	(31, 0.038204074998070665)	(32, 0.041663367582759625)	(33, 0.04506191754085177)	(34, 0.04853639578218994)	(35, 0.052019985417517636)	(36, 0.055536983497473574)	(37, 0.05958851669148155)	(38, 0.06345174774303937)	(39, 0.06742431552247148)	(40, 0.07175830193015467)	(41, 0.07572175831559724)	(42, 0.08013471013785631)	(43, 0.08480278099182201)	(44, 0.089255215521369)	(45, 0.09440315312544958)	(46, 0.09965131606341494)	(47, 0.09968168737671335)	(48, 0.09970598442735208)	(49, 0.09977887557926826)	(50, 0.09983050681187557)	(51, 0.09989732370113207)	(52, 0.09992465788310063)	(53, 0.09997628911570793)	(54, 0.10000058616634666)	(55, 0.10010384863156126)	(56, 0.10015244273283871)	(57, 0.10019799970278633)	(58, 0.10022229675342506)	(59, 0.10026481659204284)	(60, 0.10029822503667109)	(61, 0.100395413239226)	(62, 0.10044400734050346)	(63, 0.10051386136108979)	(64, 0.10053815841172853)	(65, 0.10061712382630439)	(66, 0.10063838374561328)	(67, 0.10073557194816819)	(68, 0.10081453736274407)	(69, 0.10086616859535136)	(70, 0.10091476269662882)	(71, 0.10096335679790627)	(72, 0.10099980237386437)	(73, 0.10109699057641928)	(74, 0.10114862180902658)
SRR9127396_1_clean - polya	(1, 0.013937395672640613)	(2, 0.017193200458230227)	(3, 0.020540119183715073)	(4, 0.02389918643451928)	(5, 0.027510335585700298)	(6, 0.03122171007076607)	(7, 0.035346134416690225)	(8, 0.039185068417609326)	(9, 0.04419937224317691)	(10, 0.04827216535649377)	(11, 0.05319839237349596)	(12, 0.05734103950739917)	(13, 0.06138649843874745)	(14, 0.06584804436228396)	(15, 0.07015469658799858)	(16, 0.07437023487381797)	(17, 0.07911423401102971)	(18, 0.0834785917320113)	(19, 0.08971078522084516)	(20, 0.093841283829429)	(21, 0.09772273766896587)	(22, 0.10169530544839797)	(23, 0.10586832389559958)	(24, 0.1107216597606856)	(25, 0.11503742338038973)	(26, 0.11975712546696274)	(27, 0.12421867139049925)	(28, 0.12865592026339703)	(29, 0.13251611418362502)	(30, 0.1365980186909314)	(31, 0.14048554679312797)	(32, 0.1447496791802248)	(33, 0.14948760405477685)	(34, 0.15411011793879495)	(35, 0.1586931491155251)	(36, 0.16332173726220287)	(37, 0.16769824350850382)	(38, 0.17217193795735972)	(39, 0.17687341725595365)	(40, 0.18203654051668347)	(41, 0.18698402745299456)	(42, 0.19169765527690788)	(43, 0.1961683125944339)	(44, 0.20099431427755135)	(45, 0.2057261648894437)	(46, 0.21113529578789064)	(47, 0.21605848567356298)	(48, 0.22158910182520355)	(49, 0.22638776932635243)	(50, 0.23112569420090448)	(51, 0.23596080727801144)	(52, 0.24079288322378856)	(53, 0.24577681573605772)	(54, 0.2504054038827355)	(55, 0.2552951853237796)	(56, 0.2601363726635463)	(57, 0.2649107431140564)	(58, 0.2698035616864303)	(59, 0.27451415237901383)	(60, 0.2791488147883513)	(61, 0.2836711033384846)	(62, 0.288327025667131)	(63, 0.29336562654333725)	(64, 0.2978514695175125)	(65, 0.3026440627560017)	(66, 0.30722709393273184)	(67, 0.31218976652569214)	(68, 0.3174136324130188)	(69, 0.3222183741768273)	(70, 0.3268257024041962)	(71, 0.3318764518057219)	(72, 0.3365262998717085)	(73, 0.34141608131275264)	(74, 0.3458502930543206)
SRR9127396_2_clean - nextera_transposase_sequence	(1, 0.00010629959654443701)	(2, 0.00018830214245014557)	(3, 0.0003462329716018806)	(4, 0.0004950524067640924)	(5, 0.0006651317612351915)	(6, 0.0008534339036853372)	(7, 0.001266483764543721)	(8, 0.0015185656649205287)	(9, 0.0018951699498208198)	(10, 0.002332516861317932)	(11, 0.002797197954783614)	(12, 0.0032406191289404084)	(13, 0.0037326344043746595)	(14, 0.00422161254847907)	(15, 0.004886744309714261)	(16, 0.005919368961860221)	(17, 0.007407563313482339)	(18, 0.008689232734675265)	(19, 0.010089350277731992)	(20, 0.011325462728977304)	(21, 0.01306270184964639)	(22, 0.01536484739766591)	(23, 0.017961594684680015)	(24, 0.020695012881536967)	(25, 0.02426364219410021)	(26, 0.02733418196856952)	(27, 0.030480650026284854)	(28, 0.03348133578016782)	(29, 0.03684647729363171)	(30, 0.040175173231137506)	(31, 0.04356157466391029)	(32, 0.04735191456355193)	(33, 0.051306259555004986)	(34, 0.05522719610182979)	(35, 0.05904790731476984)	(36, 0.06300528943755274)	(37, 0.0675154294623667)	(38, 0.07182208168808132)	(39, 0.07638689007683244)	(40, 0.08146497366032669)	(41, 0.08607533901902541)	(42, 0.09116253399650918)	(43, 0.09655344210697706)	(44, 0.10177427086297383)	(45, 0.10790623901792293)	(46, 0.11431154899255772)	(47, 0.1143692544878247)	(48, 0.11440873719511263)	(49, 0.11449073974101834)	(50, 0.11454237097362564)	(51, 0.11463652204485071)	(52, 0.11467600475213865)	(53, 0.1147610444293742)	(54, 0.11480356426799197)	(55, 0.11496756935980339)	(56, 0.11502223772374053)	(57, 0.11508601748166719)	(58, 0.11515283437092369)	(59, 0.11524698544214877)	(60, 0.11533506225071416)	(61, 0.11545351037257796)	(62, 0.11551121586784494)	(63, 0.11559929267641034)	(64, 0.11568129522231604)	(65, 0.11578455768753064)	(66, 0.1158331517888081)	(67, 0.1159819712239703)	(68, 0.11605789950721633)	(69, 0.11613990205312204)	(70, 0.11622190459902774)	(71, 0.11629175861961409)	(72, 0.11634946411488108)	(73, 0.1164557637114255)	(74, 0.11653472912600138)
SRR9127396_2_clean - polya	(1, 0.013743019267530784)	(2, 0.017335945630732756)	(3, 0.02099568888319123)	(4, 0.02440942449793258)	(5, 0.02803272217443296)	(6, 0.03179572789210603)	(7, 0.03591711510670035)	(8, 0.03974390058230008)	(9, 0.04441500856759562)	(10, 0.04862143545942549)	(11, 0.053486919849830866)	(12, 0.05761134419575502)	(13, 0.061568726318537915)	(14, 0.06595130682749856)	(15, 0.06986313198033385)	(16, 0.07411207871078149)	(17, 0.0789806002325167)	(18, 0.08315665581104816)	(19, 0.08892113107508648)	(20, 0.09315792928021475)	(21, 0.09755265831449476)	(22, 0.10149181764929861)	(23, 0.10571950446043737)	(24, 0.11031772129381673)	(25, 0.11504349764304941)	(26, 0.11963260308243925)	(27, 0.1242672654917767)	(28, 0.1285344350102034)	(29, 0.13273478763937357)	(30, 0.13680150649003076)	(31, 0.14106867600845743)	(32, 0.14573978399375298)	(33, 0.15041392911037837)	(34, 0.1550242944690771)	(35, 0.15960732564580726)	(36, 0.16462162947137485)	(37, 0.16926844040603164)	(38, 0.17378465469350532)	(39, 0.17840109431486373)	(40, 0.18357940323224273)	(41, 0.18874252649297252)	(42, 0.19357763957007948)	(43, 0.19833682436394043)	(44, 0.20302919226854485)	(45, 0.20808297880140036)	(46, 0.21387478824740727)	(47, 0.21874027263781265)	(48, 0.2244257824872751)	(49, 0.22891769972411002)	(50, 0.2335098422948297)	(51, 0.23836014102858588)	(52, 0.24318917984303315)	(53, 0.24822778071923948)	(54, 0.25290192583586485)	(55, 0.25803771491462607)	(56, 0.26313705841742924)	(57, 0.2680116542018241)	(58, 0.27265846513648095)	(59, 0.2772232735252321)	(60, 0.2821616490675536)	(61, 0.28689957394210563)	(62, 0.2915311992201133)	(63, 0.29656676296498974)	(64, 0.3013654304661386)	(65, 0.3063007688771303)	(66, 0.3109809882564154)	(67, 0.31603781192060076)	(68, 0.3209974473822312)	(69, 0.32596619423785117)	(70, 0.33063730222314675)	(71, 0.3353539671783899)	(72, 0.34012226336624035)	(73, 0.34524894105101206)	(74, 0.35019642798732314)
SRR9127396_2_clean - polyg	(1, 0.06562937090653541)	(2, 0.06683511204448231)	(3, 0.06802566752578)	(4, 0.0694166736748472)	(5, 0.0705555979235376)	(6, 0.0718646015266991)	(7, 0.07319182791783964)	(8, 0.07464661382483351)	(9, 0.07604369423656039)	(10, 0.07765944810403584)	(11, 0.07920838508225478)	(12, 0.08078769337377213)	(13, 0.08230625903869265)	(14, 0.08349681451999036)	(15, 0.08459018179873314)	(16, 0.08579288580535019)	(17, 0.08681032480084695)	(18, 0.0878642093723018)	(19, 0.08888772263045823)	(20, 0.09007524098042609)	(21, 0.09111393989523173)	(22, 0.0920584877388123)	(23, 0.09312148370425666)	(24, 0.09414803409374294)	(25, 0.09503183931072669)	(26, 0.09600372133627583)	(27, 0.09687841515927005)	(28, 0.09778651742689252)	(29, 0.09875536232111183)	(30, 0.09977280131660858)	(31, 0.10061408669497456)	(32, 0.10151611469993735)	(33, 0.10237258573495253)	(34, 0.10334143062917182)	(35, 0.10422827297748541)	(36, 0.10527608328628058)	(37, 0.10635122777704431)	(38, 0.10721377307471917)	(39, 0.10809150402904323)	(40, 0.10892367801341969)	(41, 0.10980748323040343)	(42, 0.11062447155813068)	(43, 0.11148094259314585)	(44, 0.11226148534491501)	(45, 0.11313010490524955)	(46, 0.1139774645462752)	(47, 0.11481571279331133)	(48, 0.11587870875875571)	(49, 0.1167807367637185)	(50, 0.11778299010256606)	(51, 0.11868501810752885)	(52, 0.1195171920919053)	(53, 0.12035847747027127)	(54, 0.121299988182522)	(55, 0.1221443106922178)	(56, 0.1230311530405314)	(57, 0.12386940128756753)	(58, 0.12484735757577635)	(59, 0.12582227673265534)	(60, 0.12675467605091653)	(61, 0.12790878595625613)	(62, 0.12900215323499892)	(63, 0.13010766903906107)	(64, 0.13128911312636923)	(65, 0.1326254509114993)	(66, 0.13391623172668174)	(67, 0.13516449270324643)	(68, 0.13655853598364348)	(69, 0.138077101648564)	(70, 0.13998138299237434)	(71, 0.14199196393272911)	(72, 0.14414832717691628)	(73, 0.1461103140159936)	(74, 0.148758692535615)
