Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000016918.16	89	260	244	250	146	96	356	188
ENSMUSG00000127288.1	4	3	5	1	6	1	0	11
ENSMUSG00000025938.17	95	124	114	41	57	8	66	224
ENSMUSG00000104518.2	2	2	1	0	3	0	0	2
ENSMUSG00000141815.1	10	2	4	9	3	0	1	8
ENSMUSG00000069620.7	0	0	0	0	0	0	0	0
ENSMUSG00000099498.3	17	11	12	3	6	1	1	14
ENSMUSG00000042414.8	2	4	13	8	1	1	0	23
ENSMUSG00000005886.15	263	289	334	243	643	63	255	341
ENSMUSG00000103506.2	17	32	18	9	16	5	12	19
ENSMUSG00000103495.2	13	13	28	10	18	2	19	20
ENSMUSG00002076346.1	2	0	0	0	0	1	0	1
ENSMUSG00000102639.2	4	5	0	6	5	1	3	4
ENSMUSG00000104170.2	15	7	6	31	16	2	13	25
ENSMUSG00000134412.1	1	1	0	6	0	0	0	1
ENSMUSG00000087782.3	0	0	0	0	0	0	0	0
ENSMUSG00000103085.2	13	35	44	31	47	9	30	69
ENSMUSG00000102664.2	18	31	21	25	22	8	11	37
ENSMUSG00000134452.1	15	11	3	12	9	2	10	11
ENSMUSG00000101476.3	11	7	9	10	3	1	5	13
ENSMUSG00000134491.1	0	8	4	1	1	1	1	3
ENSMUSG00000122424.1	4	2	12	4	4	0	0	12
ENSMUSG00000101171.2	1	0	0	0	0	0	0	3
ENSMUSG00000126000.1	13	2	9	0	5	0	3	9
ENSMUSG00000025935.11	815	1871	1358	1204	3984	503	1402	1383
ENSMUSG00000120948.2	1	9	0	2	3	1	2	1
ENSMUSG00000131318.1	4	1	4	3	0	0	1	2
ENSMUSG00000025937.7	102	208	104	87	314	30	107	199
ENSMUSG00000102982.2	10	8	17	8	5	3	15	18
ENSMUSG00000067813.4	18	2	31	12	21	3	9	34
ENSMUSG00000077368.3	0	0	0	0	0	0	0	0
ENSMUSG00000097711.2	3	7	4	5	3	1	5	13
ENSMUSG00000134219.1	29	22	25	13	11	8	14	41
ENSMUSG00000102166.2	9	14	13	5	3	0	2	30
ENSMUSG00002075174.1	0	2	0	0	0	0	0	7
ENSMUSG00000104209.2	17	4	15	5	4	1	4	9
ENSMUSG00000025932.15	53	159	117	66	106	16	91	146
ENSMUSG00002075819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102588.2	1	3	0	4	3	0	1	11
ENSMUSG00000127312.1	5	5	16	5	7	0	3	23
ENSMUSG00000127278.1	10	13	14	7	6	3	6	24
ENSMUSG00000140763.1	4	2	3	1	0	0	2	10
ENSMUSG00000140464.1	2	4	7	0	1	1	3	12
ENSMUSG00000134469.1	0	0	4	0	0	0	3	2
ENSMUSG00000054493.4	25	32	31	10	9	1	11	29
ENSMUSG00000025930.7	19	16	9	2	17	2	4	11
ENSMUSG00000103492.2	25	24	33	8	7	7	11	57
ENSMUSG00000081201.2	0	0	1	0	1	0	4	1
ENSMUSG00000082193.2	3	16	2	0	3	2	4	9
ENSMUSG00000032769.6	26	48	31	13	51	4	16	55
ENSMUSG00000088159.3	0	0	2	0	0	0	0	0
ENSMUSG00000125466.1	11	9	7	2	6	1	6	15
ENSMUSG00000073737.4	0	8	4	0	0	0	0	2
ENSMUSG00000092083.5	88	66	201	48	52	16	53	172
ENSMUSG00000128216.1	2	7	3	0	0	0	0	5
ENSMUSG00000102937.2	10	19	6	7	6	0	5	11
ENSMUSG00000104149.2	19	10	28	7	5	1	6	20
ENSMUSG00000137925.1	16	11	29	5	7	2	7	25
ENSMUSG00000088829.3	2	0	5	0	0	0	0	0
ENSMUSG00000132707.1	3	0	5	0	2	0	0	2
ENSMUSG00000077377.3	2	0	1	0	0	0	0	0
ENSMUSG00000101652.2	1	0	0	0	0	2	2	3
ENSMUSG00000100814.2	3	0	0	0	2	0	0	2
ENSMUSG00000132745.1	14	4	19	5	4	1	1	15
ENSMUSG00000132786.1	2	0	2	2	2	0	1	7
ENSMUSG00000025925.15	97	221	127	131	333	28	105	174
ENSMUSG00000104379.2	2	8	0	3	0	0	3	10
ENSMUSG00000032719.5	1	29	0	0	1	0	1	1
ENSMUSG00002076565.1	1	4	8	0	0	0	0	6
ENSMUSG00000137819.1	2	2	3	1	1	1	0	3
ENSMUSG00000100652.2	3	1	5	1	5	0	2	11
ENSMUSG00000067795.14	7	3	7	3	4	0	4	10
ENSMUSG00000136711.1	5	3	2	5	0	0	0	3
ENSMUSG00000043716.14	268	890	379	544	1418	184	526	561
ENSMUSG00000025921.8	53	105	94	79	144	32	57	96
ENSMUSG00000132226.1	4	0	7	2	4	0	3	10
ENSMUSG00000104165.2	16	10	8	12	4	1	0	13
ENSMUSG00000100868.2	3	6	6	4	0	0	0	1
ENSMUSG00000025920.20	87	203	106	73	206	24	138	184
ENSMUSG00000089982.9	5	8	16	3	4	2	3	12
ENSMUSG00000025939.20	104	188	133	172	370	62	175	186
ENSMUSG00000102457.2	0	3	11	6	7	3	3	9
ENSMUSG00000079658.10	129	262	108	150	473	49	213	207
ENSMUSG00000097744.3	17	11	17	7	20	2	8	22
ENSMUSG00000100959.2	2	2	10	2	7	0	0	11
ENSMUSG00000025940.7	97	264	127	85	396	41	168	199
ENSMUSG00000125087.1	4	5	9	5	2	2	1	9
ENSMUSG00000025779.11	28	31	26	27	40	2	17	26
ENSMUSG00000100093.2	0	0	0	2	0	0	0	0
ENSMUSG00000091020.4	8	2	5	2	5	0	0	13
ENSMUSG00000142287.1	13	11	6	5	7	2	9	22
ENSMUSG00000101640.2	0	0	1	0	0	0	0	0
ENSMUSG00000104133.2	9	3	9	2	0	1	3	4
ENSMUSG00000042686.6	57	232	32	39	133	1	98	179
ENSMUSG00000127806.1	5	6	3	4	1	0	4	20
ENSMUSG00000127769.1	3	3	3	3	0	0	2	4
ENSMUSG00000100110.3	6	14	9	0	5	0	2	23
ENSMUSG00000025777.9	70	97	121	20	45	12	35	139
ENSMUSG00000099899.3	16	3	1	6	1	0	5	12
ENSMUSG00000138285.1	5	4	7	12	1	0	0	17
ENSMUSG00000100272.2	1	0	0	1	0	2	0	3
ENSMUSG00000137468.1	6	7	0	3	3	0	0	13
ENSMUSG00000137506.1	8	1	1	2	2	1	0	0
ENSMUSG00000100398.2	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	7	5	3	1	5	1	1	9
ENSMUSG00000102048.2	4	8	15	1	2	4	4	6
ENSMUSG00000089534.3	2	0	2	6	1	1	4	5
ENSMUSG00000067780.4	23	32	47	22	36	6	32	53
ENSMUSG00000100053.3	5	18	11	1	13	0	4	16
ENSMUSG00000085125.9	62	22	48	16	13	15	13	57
ENSMUSG00000025776.14	59	68	60	52	64	21	84	70
ENSMUSG00000099895.2	6	1	7	1	4	0	1	17
ENSMUSG00000109887.3	14	5	19	2	7	0	1	33
ENSMUSG00000100554.2	5	5	8	8	1	1	4	21
ENSMUSG00000099473.2	1	0	0	6	0	0	0	2
ENSMUSG00000099591.2	17	6	14	0	4	0	7	14
ENSMUSG00000102001.2	0	2	0	2	0	0	0	4
ENSMUSG00000101717.3	2	2	0	0	0	0	0	5
ENSMUSG00000025774.15	23	25	18	5	11	4	5	42
ENSMUSG00000142595.1	7	13	14	5	2	0	1	12
ENSMUSG00000070977.5	1	0	0	0	0	0	2	1
ENSMUSG00000131994.1	0	0	4	0	1	1	0	4
ENSMUSG00000073735.2	0	0	2	0	4	0	0	0
ENSMUSG00000067773.7	0	1	2	3	3	1	3	2
ENSMUSG00000101685.2	7	0	9	0	4	0	0	3
ENSMUSG00000132263.1	7	1	7	0	3	1	0	7
ENSMUSG00000132383.1	6	6	10	1	3	1	0	21
ENSMUSG00000101306.2	1	5	4	2	1	0	4	8
ENSMUSG00000134916.1	8	1	7	0	0	0	0	1
ENSMUSG00000088800.4	0	0	0	0	0	0	0	2
ENSMUSG00000101644.2	0	0	0	0	0	0	0	0
ENSMUSG00000099433.2	1	0	1	0	0	0	0	3
ENSMUSG00000089787.4	13	10	10	5	1	1	6	14
ENSMUSG00000042596.8	5	2	1	1	0	0	0	11
ENSMUSG00000100720.2	1	6	8	0	1	0	0	9
ENSMUSG00000025927.14	25	17	30	8	8	1	7	40
ENSMUSG00000142982.1	0	0	0	0	0	0	1	0
ENSMUSG00000100538.3	9	8	24	13	0	0	1	15
ENSMUSG00000101117.2	1	0	6	0	0	0	0	0
ENSMUSG00000100204.2	8	7	26	1	2	0	0	23
ENSMUSG00002076883.1	2	0	0	0	1	0	0	0
ENSMUSG00000141106.1	3	3	7	0	0	0	0	9
ENSMUSG00000102597.2	7	12	9	2	3	1	1	27
ENSMUSG00000142065.1	0	2	10	3	1	0	1	3
ENSMUSG00000136536.1	16	3	11	0	9	0	4	19
ENSMUSG00000043760.17	42	95	132	54	42	13	23	172
ENSMUSG00000104095.2	13	29	23	4	7	3	14	44
ENSMUSG00000089914.4	5	8	18	0	0	2	6	5
ENSMUSG00000090142.3	2	4	14	4	3	1	0	4
ENSMUSG00000070175.3	4	1	3	0	0	0	1	0
ENSMUSG00000099906.3	20	23	12	4	11	3	9	27
ENSMUSG00000065559.3	0	0	0	0	0	0	0	0
ENSMUSG00000065480.3	0	0	0	0	0	0	0	0
ENSMUSG00000133531.1	7	1	10	4	0	0	5	14
ENSMUSG00000025929.5	0	1	0	3	1	0	1	1
ENSMUSG00000041872.10	14	4	28	4	2	2	0	28
ENSMUSG00000041859.11	516	1302	757	864	3727	299	920	1234
ENSMUSG00000099714.2	0	6	7	1	5	0	1	7
ENSMUSG00000102121.2	6	11	20	2	3	1	3	9
ENSMUSG00000088858.3	0	0	4	0	0	0	0	2
ENSMUSG00000097934.3	2	1	6	4	0	0	0	15
ENSMUSG00000025931.16	34	44	29	18	46	17	24	54
ENSMUSG00000077314.3	3	0	0	0	0	0	0	0
ENSMUSG00000133875.1	3	0	0	3	0	0	2	2
ENSMUSG00000100929.2	1	0	3	0	0	1	0	1
ENSMUSG00000041809.6	10	39	28	13	17	4	13	24
ENSMUSG00000041779.6	108	174	199	224	321	82	220	131
ENSMUSG00000137435.1	2	2	6	5	0	0	1	2
ENSMUSG00000099971.2	0	0	2	0	0	0	0	2
ENSMUSG00000129840.1	8	4	2	1	0	0	0	7
ENSMUSG00000100819.2	0	0	3	0	0	0	0	0
ENSMUSG00000129885.1	8	4	15	3	4	0	5	32
ENSMUSG00000099343.3	8	8	2	4	4	0	0	2
ENSMUSG00000025933.16	9	20	16	13	38	5	10	12
ENSMUSG00000102633.2	4	2	5	6	7	2	2	17
ENSMUSG00000025934.16	16	23	17	8	15	5	6	32
ENSMUSG00000138037.1	0	0	0	0	0	0	0	0
