Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000102356.2	0	0	0	0	0	0	0	0
ENSMUSG00000067851.12	348	698	602	380	1161	106	458	651
ENSMUSG00002076532.1	7	3	10	2	3	0	1	6
ENSMUSG00000102556.2	29	18	62	16	21	3	18	28
ENSMUSG00000127523.1	0	9	7	2	3	0	4	3
ENSMUSG00000123573.1	0	0	7	3	0	0	0	8
ENSMUSG00000042501.13	53	81	67	43	76	12	42	100
ENSMUSG00000103810.2	11	14	14	0	5	1	12	19
ENSMUSG00000130625.1	13	5	4	1	6	0	1	9
ENSMUSG00000083422.2	6	11	13	0	4	2	2	27
ENSMUSG00000119312.1	0	1	0	0	0	0	0	2
ENSMUSG00000137678.1	1	0	0	0	1	1	0	0
ENSMUSG00000081417.2	0	0	0	0	0	0	0	0
ENSMUSG00000103448.2	6	1	16	5	12	3	7	35
ENSMUSG00000100212.2	4	0	0	2	0	0	0	0
ENSMUSG00000125508.1	0	0	8	0	0	0	0	4
ENSMUSG00000100648.2	0	0	0	3	0	1	0	6
ENSMUSG00000130062.1	0	1	5	2	2	0	0	7
ENSMUSG00002076499.1	0	0	1	0	0	0	0	0
ENSMUSG00000048960.14	111	225	164	80	165	25	101	247
ENSMUSG00000127757.1	7	1	5	1	0	0	0	4
ENSMUSG00000127802.1	4	8	4	0	0	0	0	1
ENSMUSG00000077318.3	0	0	0	0	0	0	0	2
ENSMUSG00000101827.2	0	4	4	0	0	1	1	3
ENSMUSG00000122491.1	8	1	10	7	4	0	1	16
ENSMUSG00000103494.2	16	19	28	5	3	2	8	36
ENSMUSG00000143092.1	5	3	9	0	2	1	0	11
ENSMUSG00000057715.14	62	57	94	20	37	4	24	100
ENSMUSG00000103825.2	5	16	24	4	2	2	4	14
ENSMUSG00000099845.2	3	0	3	2	0	0	1	4
ENSMUSG00000139014.1	0	0	0	0	0	0	0	0
ENSMUSG00000138973.1	14	4	6	0	5	0	0	10
ENSMUSG00000103561.2	17	22	34	3	29	3	4	19
ENSMUSG00000134440.1	7	3	2	1	2	1	0	5
ENSMUSG00000101610.2	7	1	3	1	1	0	0	10
ENSMUSG00000141382.1	4	7	9	4	2	1	0	7
ENSMUSG00000118923.1	0	0	0	0	1	1	0	3
ENSMUSG00000098555.3	1	4	0	0	0	0	1	1
ENSMUSG00000143719.1	5	2	7	0	2	0	5	8
ENSMUSG00000097628.2	5	4	3	3	0	1	0	9
ENSMUSG00000098163.2	1	5	0	2	0	3	1	4
ENSMUSG00000097171.3	8	6	9	7	4	1	2	23
ENSMUSG00000101314.3	6	0	14	12	6	1	2	4
ENSMUSG00000016918.16	88	260	243	248	146	93	354	187
ENSMUSG00000127288.1	4	3	5	1	6	1	0	11
ENSMUSG00000025938.17	95	122	115	41	57	8	64	222
ENSMUSG00000104518.2	2	2	1	0	3	0	0	2
ENSMUSG00000141815.1	10	2	4	7	3	0	1	8
ENSMUSG00000069620.7	0	0	0	0	0	0	0	0
ENSMUSG00000099498.3	18	11	12	3	6	1	0	14
ENSMUSG00000042414.8	2	4	13	8	1	1	0	22
ENSMUSG00000005886.15	259	288	331	243	641	63	250	338
ENSMUSG00000103506.2	16	32	18	9	15	5	12	19
ENSMUSG00000103495.2	13	13	28	10	18	2	19	20
ENSMUSG00002076346.1	2	0	0	0	0	1	0	1
ENSMUSG00000102639.2	4	3	0	6	5	1	3	4
ENSMUSG00000104170.2	15	7	6	30	16	2	13	25
ENSMUSG00000134412.1	1	1	0	6	0	0	0	1
ENSMUSG00000087782.3	0	0	0	0	0	0	0	0
ENSMUSG00000103085.2	12	35	44	31	47	9	30	69
ENSMUSG00000102664.2	18	31	21	25	22	8	11	36
ENSMUSG00000134452.1	15	11	3	12	9	2	10	11
ENSMUSG00000101476.3	11	7	9	10	3	1	5	13
ENSMUSG00000134491.1	0	8	4	1	1	1	1	3
ENSMUSG00000122424.1	4	2	12	4	4	0	0	12
ENSMUSG00000101171.2	1	0	0	0	0	0	0	3
ENSMUSG00000126000.1	13	2	9	0	5	0	3	9
ENSMUSG00000025935.11	801	1856	1349	1193	3932	496	1379	1372
ENSMUSG00000120948.2	1	9	0	2	3	1	2	0
ENSMUSG00000131318.1	4	1	4	3	0	0	1	2
ENSMUSG00000025937.7	98	207	104	87	315	30	103	201
ENSMUSG00000102982.2	10	8	16	8	5	3	15	18
ENSMUSG00000067813.4	18	2	30	12	21	3	9	34
ENSMUSG00000077368.3	0	0	0	0	0	0	0	0
ENSMUSG00000097711.2	3	6	4	5	3	1	5	13
ENSMUSG00000134219.1	29	22	25	13	11	8	14	41
ENSMUSG00000102166.2	9	14	13	5	3	0	2	30
ENSMUSG00002075174.1	0	2	0	0	0	0	0	7
ENSMUSG00000104209.2	16	4	15	5	4	1	4	9
ENSMUSG00000025932.15	52	156	115	66	106	16	91	145
ENSMUSG00002075819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102588.2	1	3	0	4	3	0	1	11
ENSMUSG00000127312.1	5	5	16	5	7	0	3	23
ENSMUSG00000127278.1	10	13	14	7	6	3	6	24
ENSMUSG00000140763.1	4	2	3	1	0	0	2	10
ENSMUSG00000140464.1	2	4	7	0	1	1	3	12
ENSMUSG00000134469.1	0	0	4	0	0	0	3	2
ENSMUSG00000054493.4	25	32	31	10	9	1	11	29
ENSMUSG00000025930.7	19	16	9	2	17	2	3	11
ENSMUSG00000103492.2	21	24	33	8	7	7	11	57
ENSMUSG00000081201.2	0	0	1	0	1	0	4	1
ENSMUSG00000082193.2	3	14	2	0	2	1	3	10
ENSMUSG00000032769.6	26	48	31	13	51	4	16	54
ENSMUSG00000088159.3	0	0	2	0	0	0	0	0
ENSMUSG00000125466.1	11	9	7	2	6	1	6	16
ENSMUSG00000073737.4	0	8	4	0	0	0	0	4
ENSMUSG00000092083.5	85	63	201	48	49	16	53	171
ENSMUSG00000128216.1	2	7	3	0	0	0	0	5
ENSMUSG00000102937.2	10	19	6	7	6	0	3	10
ENSMUSG00000104149.2	19	10	28	7	5	1	6	20
ENSMUSG00000137925.1	16	11	29	5	7	2	5	25
ENSMUSG00000088829.3	2	0	5	0	0	0	0	0
ENSMUSG00000132707.1	3	0	5	0	0	0	0	2
ENSMUSG00000077377.3	2	0	1	0	0	0	0	0
ENSMUSG00000101652.2	1	0	0	0	0	2	2	3
ENSMUSG00000100814.2	3	0	0	0	2	0	0	2
ENSMUSG00000132745.1	14	4	19	4	4	1	1	15
ENSMUSG00000132786.1	2	0	2	2	2	0	1	7
ENSMUSG00000025925.15	96	220	128	125	329	28	105	172
ENSMUSG00000104379.2	2	8	0	3	0	0	3	10
ENSMUSG00000032719.5	1	30	0	0	1	0	1	1
ENSMUSG00002076565.1	1	4	8	0	0	0	0	6
ENSMUSG00000137819.1	2	2	3	1	1	1	0	3
ENSMUSG00000100652.2	3	1	5	1	5	0	2	11
ENSMUSG00000067795.14	7	3	7	3	2	0	4	10
ENSMUSG00000136711.1	5	3	2	5	0	0	0	3
ENSMUSG00000043716.14	280	865	357	538	1372	173	522	564
ENSMUSG00000025921.8	53	106	91	79	140	31	57	96
ENSMUSG00000132226.1	4	0	7	2	4	0	3	10
ENSMUSG00000104165.2	16	10	8	12	4	1	0	13
ENSMUSG00000100868.2	3	6	6	4	0	0	0	1
ENSMUSG00000025920.20	87	201	104	71	205	23	137	183
ENSMUSG00000089982.9	5	8	16	3	4	2	3	12
ENSMUSG00000025939.20	104	186	136	172	370	62	174	185
ENSMUSG00000102457.2	0	3	11	6	7	3	3	9
ENSMUSG00000079658.10	128	262	108	148	472	50	211	206
ENSMUSG00000097744.3	17	13	17	5	20	2	8	22
ENSMUSG00000100959.2	2	2	10	2	7	0	0	11
ENSMUSG00000025940.7	96	262	122	81	393	40	165	198
ENSMUSG00000125087.1	4	5	9	5	2	2	1	9
ENSMUSG00000025779.11	26	31	26	26	40	2	17	26
ENSMUSG00000100093.2	0	0	0	2	0	0	0	0
ENSMUSG00000091020.4	8	1	4	3	4	1	0	15
ENSMUSG00000142287.1	13	11	6	5	7	2	9	22
ENSMUSG00000101640.2	0	0	1	0	0	0	0	0
ENSMUSG00000104133.2	9	3	9	2	0	1	3	4
ENSMUSG00000042686.6	57	230	29	39	133	1	98	177
ENSMUSG00000127806.1	5	6	3	4	2	0	4	20
ENSMUSG00000127769.1	3	3	3	3	0	0	2	4
ENSMUSG00000100110.3	6	14	9	0	5	0	2	23
ENSMUSG00000025777.9	68	97	120	20	44	12	35	138
ENSMUSG00000099899.3	16	3	1	6	1	0	5	12
ENSMUSG00000138285.1	5	4	7	12	1	0	0	17
ENSMUSG00000100272.2	1	0	0	1	0	2	0	3
ENSMUSG00000137468.1	6	7	0	3	3	0	0	12
ENSMUSG00000137506.1	8	1	1	2	2	1	0	0
ENSMUSG00000100398.2	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	14	15	16	12	18	4	11	11
ENSMUSG00000102048.2	4	8	15	1	2	4	4	6
ENSMUSG00000089534.3	2	0	2	6	1	1	4	5
ENSMUSG00000067780.4	23	32	47	21	36	6	32	54
ENSMUSG00000100053.3	5	18	11	1	13	0	4	16
ENSMUSG00000085125.9	62	22	45	16	12	15	14	56
ENSMUSG00000025776.14	59	67	59	51	63	21	83	69
ENSMUSG00000099895.2	6	1	7	1	4	0	1	17
ENSMUSG00000109887.3	14	5	20	2	7	0	1	33
ENSMUSG00000100554.2	5	5	8	8	1	1	4	21
ENSMUSG00000099473.2	1	0	0	6	0	0	0	2
ENSMUSG00000099591.2	17	6	14	0	4	0	7	14
ENSMUSG00000102001.2	0	2	0	2	0	0	0	4
ENSMUSG00000101717.3	2	2	0	0	0	0	0	5
ENSMUSG00000025774.15	23	25	18	5	11	4	5	42
ENSMUSG00000142595.1	7	13	14	5	2	0	1	12
ENSMUSG00000070977.5	1	0	0	0	0	0	2	1
ENSMUSG00000131994.1	0	0	4	0	1	1	0	4
ENSMUSG00000073735.2	0	0	2	0	4	0	0	0
ENSMUSG00000067773.7	0	1	2	3	3	1	3	2
ENSMUSG00000101685.2	7	5	9	0	4	0	2	3
ENSMUSG00000132263.1	7	1	7	0	3	1	0	7
ENSMUSG00000132383.1	4	6	10	1	3	1	0	21
ENSMUSG00000101306.2	1	5	4	2	1	0	4	8
ENSMUSG00000134916.1	8	1	7	0	0	0	0	1
ENSMUSG00000088800.4	0	0	0	0	0	0	0	2
ENSMUSG00000101644.2	0	0	0	0	0	0	0	0
ENSMUSG00000099433.2	1	0	1	0	0	0	0	3
ENSMUSG00000089787.4	13	10	10	3	1	1	6	14
ENSMUSG00000042596.8	5	2	1	1	0	0	0	9
ENSMUSG00000100720.2	1	6	8	0	1	0	0	10
ENSMUSG00000025927.14	25	17	30	7	10	1	7	41
ENSMUSG00000142982.1	0	0	0	0	0	0	1	0
ENSMUSG00000100538.3	8	8	23	13	0	0	1	15
ENSMUSG00000101117.2	1	0	6	0	0	0	0	0
ENSMUSG00000100204.2	10	28	38	13	46	7	14	44
ENSMUSG00002076883.1	2	0	0	0	1	0	0	0
ENSMUSG00000141106.1	2	3	7	0	0	0	0	9
ENSMUSG00000102597.2	8	12	9	2	3	1	1	27
ENSMUSG00000142065.1	0	2	10	3	1	0	1	3
ENSMUSG00000136536.1	16	3	11	0	9	0	4	18
ENSMUSG00000043760.17	42	94	131	54	42	13	23	171
ENSMUSG00000104095.2	13	28	23	4	7	3	14	44
ENSMUSG00000089914.4	5	8	18	0	0	2	6	5
ENSMUSG00000090142.3	2	4	14	4	3	1	0	4
ENSMUSG00000070175.3	4	1	3	0	0	0	1	0
ENSMUSG00000099906.3	20	23	12	4	11	3	9	27
ENSMUSG00000065559.3	0	0	0	0	0	0	0	0
ENSMUSG00000065480.3	0	0	0	0	0	0	0	0
ENSMUSG00000133531.1	7	1	10	4	0	0	5	14
ENSMUSG00000025929.5	0	1	0	3	1	0	1	1
ENSMUSG00000041872.10	15	4	28	4	2	2	0	28
ENSMUSG00000041859.11	515	1301	755	859	3711	297	916	1229
ENSMUSG00000099714.2	0	6	7	1	5	0	1	7
