Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000083422.2	13	23	21	0	10	3	4	53
ENSMUSG00000119312.1	0	1	0	0	0	1	0	2
ENSMUSG00000137678.1	2	0	0	0	2	1	0	2
ENSMUSG00000081417.2	0	0	0	0	0	0	0	5
ENSMUSG00000103448.2	16	8	33	9	21	5	14	74
ENSMUSG00000100212.2	16	0	2	7	0	0	0	9
ENSMUSG00000125508.1	1	4	17	2	0	0	2	12
ENSMUSG00000100648.2	2	0	2	3	0	2	0	10
ENSMUSG00000130062.1	0	6	11	2	4	0	0	14
ENSMUSG00002076499.1	1	0	1	0	0	0	1	0
ENSMUSG00000048960.14	218	456	355	184	329	50	202	508
ENSMUSG00000127757.1	10	2	9	5	0	0	0	6
ENSMUSG00000127802.1	12	15	8	4	3	0	0	2
ENSMUSG00000077318.3	0	0	0	0	2	0	0	2
ENSMUSG00000101827.2	0	7	6	0	1	1	2	8
ENSMUSG00000122491.1	10	7	21	12	12	1	1	28
ENSMUSG00000103494.2	24	33	52	10	9	3	13	73
ENSMUSG00000143092.1	5	10	13	0	8	1	0	20
ENSMUSG00000057715.14	121	114	196	40	68	8	53	199
ENSMUSG00000103825.2	9	27	48	8	4	4	8	33
ENSMUSG00000099845.2	6	0	3	2	1	0	1	7
ENSMUSG00000139014.1	1	0	2	2	5	0	1	7
ENSMUSG00000138973.1	26	9	21	0	6	0	3	20
ENSMUSG00000103561.2	30	45	58	6	58	6	8	39
ENSMUSG00000134440.1	15	4	9	1	6	1	1	12
ENSMUSG00000101610.2	13	4	7	3	2	0	0	17
ENSMUSG00000141382.1	8	15	22	6	4	2	0	11
ENSMUSG00000118923.1	0	0	0	0	2	1	1	4
ENSMUSG00000098555.3	1	4	0	0	0	0	2	1
ENSMUSG00000143719.1	12	3	14	1	5	1	5	12
ENSMUSG00000097628.2	10	12	4	3	0	2	0	19
ENSMUSG00000098163.2	5	8	9	3	0	6	1	4
ENSMUSG00000097171.3	12	16	29	7	9	2	3	46
ENSMUSG00000101314.3	7	0	30	18	9	2	5	12
ENSMUSG00000016918.16	171	521	491	480	287	186	705	367
ENSMUSG00000127288.1	6	7	10	2	10	2	1	16
ENSMUSG00000025938.17	184	238	213	88	108	15	125	442
ENSMUSG00000104518.2	3	2	6	0	6	0	0	2
ENSMUSG00000141815.1	21	4	9	12	6	0	1	18
ENSMUSG00000069620.7	0	0	0	0	0	0	0	0
